date1,datetime,cash_type,card,money,coffee_name
April,April  7:45:17 PM,card,ANON-0000-0000-0120,38.7,Cappuccino
April,April  7:45:17 PM,card,ANON-0000-0000-0120,38.7,Cappuccino
April,April  7:45:17 PM,card,ANON-0000-0000-0121,28.9,Cortado
April,April  7:29:17 PM,card,ANON-0000-0000-0003,28.9,Americano
April,April  7:29:17 PM,card,ANON-0000-0000-0003,28.9,Americano
April,April  8:34:17 PM,card,ANON-0000-0000-0122,33.8,Americano with Milk
April,April  8:34:17 PM,card,ANON-0000-0000-0122,28.9,Cortado
April,April  8:34:17 PM,card,ANON-0000-0000-0123,38.7,Cappuccino
April,April  8:34:17 PM,card,ANON-0000-0000-0123,38.7,Latte
April,April  7:29:17 PM,card,ANON-0000-0000-0069,38.7,Latte
April,April  7:29:17 PM,card,ANON-0000-0000-0085,38.7,Cappuccino
April,April  3:39:48 PM,card,ANON-0000-0000-0024,38.7,Hot Chocolate
April,April  4:19:03 PM,card,ANON-0000-0000-0009,38.7,Hot Chocolate
April,April  6:39:04 PM,card,ANON-0000-0000-0001,38.7,Latte
April,April  7:22:02 PM,card,ANON-0000-0000-0040,33.8,Americano with Milk
April,April  7:23:16 PM,card,ANON-0000-0000-0040,38.7,Cappuccino
April,April  7:29:17 PM,card,ANON-0000-0000-0124,38.7,Hot Chocolate
April,April  7:45:17 PM,card,ANON-0000-0000-0124,38.7,Cappuccino
April,April  7:45:17 PM,card,ANON-0000-0000-0024,38.7,Cocoa
April,April  7:45:17 PM,card,ANON-0000-0000-0009,33.8,Americano with Milk
April,April  7:45:17 PM,cash,,35,Americano with Milk
April,April  7:29:17 PM,card,ANON-0000-0000-0125,33.8,Americano with Milk
April,April  7:29:17 PM,card,ANON-0000-0000-0125,33.8,Americano with Milk
April,April  8:34:17 PM,card,ANON-0000-0000-0118,28.9,Americano
April,April  8:34:17 PM,card,ANON-0000-0000-0118,33.8,Americano with Milk
April,April  7:29:17 PM,card,ANON-0000-0000-0118,38.7,Hot Chocolate
April,April  7:29:17 PM,card,ANON-0000-0000-0040,38.7,Cappuccino
April,April  3:39:48 PM,card,ANON-0000-0000-0009,33.8,Americano with Milk
April,April  4:19:03 PM,card,ANON-0000-0000-0012,32.82,Americano with Milk
April,April  6:39:04 PM,card,ANON-0000-0000-0126,32.82,Americano with Milk
April,April  7:22:02 PM,cash,,39,Cocoa
April,April  7:23:16 PM,card,ANON-0000-0000-0127,37.72,Cappuccino
April,April  7:29:17 PM,card,ANON-0000-0000-0127,37.72,Cappuccino
April,April  7:45:17 PM,card,ANON-0000-0000-0128,37.72,Latte
April,April  7:45:17 PM,card,ANON-0000-0000-0001,37.72,Latte
April,April  7:45:17 PM,card,ANON-0000-0000-0099,27.92,Americano
April,April  7:45:17 PM,cash,,39,Cappuccino
April,April  7:29:17 PM,card,ANON-0000-0000-0012,27.92,Americano
April,April  7:29:17 PM,card,ANON-0000-0000-0129,32.82,Americano with Milk
April,April  8:34:17 PM,cash,,39,Latte
April,April  8:34:17 PM,card,ANON-0000-0000-0009,37.72,Latte
April,April  8:34:17 PM,cash,,39,Cappuccino
April,April  8:34:17 PM,card,ANON-0000-0000-0025,37.72,Cappuccino
April,April  7:29:17 PM,card,ANON-0000-0000-0024,32.82,Americano with Milk
April,April  7:29:17 PM,card,ANON-0000-0000-0009,37.72,Cappuccino
April,April  3:39:48 PM,card,ANON-0000-0000-0130,32.82,Americano with Milk
April,April  4:19:03 PM,card,ANON-0000-0000-0130,32.82,Americano with Milk
April,April  6:39:04 PM,card,ANON-0000-0000-0001,37.72,Latte
April,April  7:22:02 PM,card,ANON-0000-0000-0131,32.82,Americano with Milk
April,April  7:23:16 PM,card,ANON-0000-0000-0132,32.82,Americano with Milk
April,April  7:29:17 PM,card,ANON-0000-0000-0133,32.82,Americano with Milk
April,April  7:45:17 PM,card,ANON-0000-0000-0059,32.82,Americano with Milk
April,April  7:45:17 PM,card,ANON-0000-0000-0009,32.82,Americano with Milk
April,April  7:45:17 PM,card,ANON-0000-0000-0134,32.82,Americano with Milk
April,April  7:45:17 PM,card,ANON-0000-0000-0134,37.72,Cappuccino
April,April  7:29:17 PM,card,ANON-0000-0000-0135,27.92,Americano
April,April  7:29:17 PM,card,ANON-0000-0000-0009,37.72,Latte
April,April  8:34:17 PM,card,ANON-0000-0000-0012,27.92,Americano
April,April  8:34:17 PM,card,ANON-0000-0000-0012,27.92,Americano
April,April  8:34:17 PM,card,ANON-0000-0000-0001,37.72,Latte
April,April  8:34:17 PM,card,ANON-0000-0000-0136,37.72,Latte
April,April  7:29:17 PM,card,ANON-0000-0000-0137,37.72,Cappuccino
April,April  7:29:17 PM,card,ANON-0000-0000-0012,27.92,Americano
April,April  7:22:02 PM,card,ANON-0000-0000-0012,27.92,Americano
April,April  7:23:16 PM,card,ANON-0000-0000-0138,27.92,Cortado
April,April  7:29:17 PM,card,ANON-0000-0000-0139,27.92,Americano
April,April  7:45:17 PM,card,ANON-0000-0000-0009,37.72,Hot Chocolate
April,April  7:45:17 PM,card,ANON-0000-0000-0009,37.72,Cocoa
April,April  7:45:17 PM,card,ANON-0000-0000-0009,37.72,Cappuccino
April,April  7:45:17 PM,card,ANON-0000-0000-0001,37.72,Latte
April,April  7:29:17 PM,card,ANON-0000-0000-0140,37.72,Cappuccino
April,April  7:29:17 PM,card,ANON-0000-0000-0012,27.92,Americano
April,April  8:34:17 PM,card,ANON-0000-0000-0012,27.92,Americano
April,April  8:34:17 PM,card,ANON-0000-0000-0019,37.72,Latte
April,April  8:34:17 PM,card,ANON-0000-0000-0141,27.92,Cortado
